Sequencial,Fazenda-Câmara,ID# amostra (obrigatória),Profundidade,Cód. Laboratório,em H20,em CaCl2 0.01 M,Ca,Mg,Al,H + Al,P,K,M.O.,C.O. WB,C total (Dumas,N total Dumas,Argila,Silte,Areia,Densidade
291,TAN-58,TAN-58-4,-4,6724,5.4,4.2,4.8,4,2,12,3.2,55,10.04,0.58,0.8,0.05,494,60,446,1.48
292,TAN-58,TAN-58-5,-5,6725,5.2,4.3,4,3,2,12,0.7,53,7.79,0.45,0.51,0.04,534,20,446,1.45
293,TAN-58,TAN-58-6,-6,6726,5.4,4.7,8.5,4.6,1,10,0.3,51,8.44,0.49,0.49,0.04,554,20,426,1.42
294,TAN-58,TAN-58-7,-7,6727,5.6,5.1,6.4,3.9,0,9,0.2,50,6.82,0.4,0.37,0.03,574,40,386,1.44
295,TAN-59,TAN-59-1,-1,6728,6.1,4.8,26.3,10.9,0,15,41.3,147,21.93,1.27,1.27,0.11,434,40,526,1.50
296,TAN-59,TAN-59-2,-2,6729,6.2,5.2,29,14.4,0,14,31.2,105,20.14,1.17,1.11,0.09,414,40,546,1.46
297,TAN-59,TAN-59-3,-3,6730,6.2,5,14.8,10.1,0,12,12,75,12.26,0.71,0.65,0.06,454,40,506,1.58
298,TAN-59,TAN-59-4,-4,6731,6,4.7,7.1,7.1,0,10,1.3,72,9.81,0.57,0.53,0.04,494,60,446,1.41
299,TAN-59,TAN-59-5,-5,6732,5.5,4.5,4.9,4.6,1,10,0.7,47,08.09,0.47,0.55,0.05,534,40,426,1.37
300,TAN-59,TAN-59-6,-6,6733,5.5,4.8,7.6,3.2,1,10,0.4,44,7.79,0.45,0.42,0.04,554,20,426,1.40
301,TAN-59,TAN-59-7,-7,6734,5.8,5.2,8.2,3.7,0,7,0.3,42,5.88,0.34,0.31,0.03,554,20,426,1.36
302,TAN-60,TAN-60-1,-1,6735,6.4,4.7,29.3,11.6,0,4,24.5,109,20.43,1.19,1.15,0.09,434,40,526,1.42
303,TAN-60,TAN-60-2,-2,6736,6.5,5.3,25.4,14.3,0,2,21.2,83,19.09,1.11,1.19,0.09,434,80,486,1.47
304,TAN-60,TAN-60-3,-3,6737,6.4,5.2,19.7,13.7,0,1,15.9,72,16.46,0.95,0.82,0.07,474,40,486,1.55
305,TAN-60,TAN-60-4,-4,6738,5.6,4.3,4,4.3,1,9,1.3,66,9.41,0.55,0.56,0.04,554,20,426,1.44
306,TAN-60,TAN-60-5,-5,6739,5.8,4.7,4.5,3.9,1,7,0.5,58,6.8,0.39,0.58,0.05,554,20,426,1.33
307,TAN-60,TAN-60-6,-6,6740,5.8,5.2,6.5,3.9,0,7,0.3,44,06.02,0.35,0.39,0.03,554,20,426,1.35
308,TAN-60,TAN-60-7,-7,6741,5.4,5.2,4.6,3,0,9,0.2,28,5.42,0.31,0.4,0.03,514,40,446,1.41
309,TAN-69,TAN-69-1,-1,6742,6.4,5.2,22.5,14,0,4,27.8,50,20.96,1.22,01.04,0.08,214,40,746,1.50
310,TAN-69,TAN-69-2,-2,6743,6.4,4.9,17.2,6.4,0,2,22.4,75,12.32,0.71,0.66,0.05,234,20,746,1.61
311,TAN-69,TAN-69-3,-3,6744,6.5,5,15.6,6.8,0,1,11.9,70,11.98,0.7,0.67,0.05,234,60,706,1.59
312,TAN-69,TAN-69-4,-4,6745,6.2,4.8,7.1,4.6,0,4,0.7,44,11.08,0.64,0.42,0.03,254,20,726,1.48
313,TAN-69,TAN-69-5,-5,6746,5.9,4.4,3.4,2.9,1,7,0.6,41,11.42,0.66,0.43,0.03,274,20,706,1.41
314,TAN-69,TAN-69-6,-6,6747,5.4,4.4,2,3,1,9,0.4,34,10.11,0.59,0.32,0.02,274,20,706,1.51
315,TAN-69,TAN-69-7,-7,6748,5.5,4.9,2.1,3.6,0,8,0.3,25,7.89,0.46,0.26,0.02,294,20,686,1.37
316,TAN-70,TAN-70-1,-1,6749,6.3,5.1,23.4,15,0,5,44.5,59,21.57,1.25,1.18,0.09,174,40,786,1.56
317,TAN-70,TAN-70-2,-2,6750,6.3,4.8,22.3,7.1,0,4,27.2,64,20.34,1.18,0.86,0.06,194,20,786,1.61
318,TAN-70,TAN-70-3,-3,6751,6.4,4.8,19.5,7.1,0,1,16.8,58,12.12,0.7,0.64,0.05,214,20,766,1.63
319,TAN-70,TAN-70-4,-4,6752,5.7,4.2,3.6,3,1,10,1.4,27,7.5,0.43,0.41,0.03,254,20,726,1.47
320,TAN-70,TAN-70-5,-5,6753,5.4,4.2,2,2.6,2,9,0.7,23,6.97,0.4,0.44,0.03,254,20,726,1.46
321,TAN-70,TAN-70-6,-6,6754,5.2,4.5,2.1,2.8,3,10,0.3,14,5.37,0.31,0.26,0.02,294,20,686,1.40
322,TAN-70,TAN-70-7,-7,6755,5.2,4.8,1.4,3.2,1,9,0.1,9,3.76,0.22,0.24,0.02,294,20,686,1.35
323,TAN-71,TAN-71-1,-1,6756,6.2,4.8,17.4,8.6,0,13,28.5,70,11.76,0.68,0.73,0.05,214,40,746,1.48
324,TAN-71,TAN-71-2,-2,6757,6.2,4.9,24.4,9.7,0,12,22.5,59,17.31,1,1.14,0.08,174,60,766,1.56
325,TAN-71,TAN-71-3,-3,6758,6.1,5.4,26.5,17.2,0,4,6.2,31,21.25,1.23,1.38,0.1,154,60,786,1.61
326,TAN-71,TAN-71-4,-4,6759,6.4,5.2,13,6.9,0,1,1.4,25,9.16,0.53,0.45,0.03,234,20,746,1.63
327,TAN-71,TAN-71-5,-5,6760,5.9,4.5,5.4,4.3,0,9,0.7,22,08.06,0.47,0.42,0.03,254,40,706,1.69
328,TAN-71,TAN-71-6,-6,6761,5.2,4.2,1.3,1.5,3,11,0.2,19,5.91,0.34,0.36,0.02,274,20,706,1.55
329,TAN-71,TAN-71-7,-7,6762,4.9,4.3,1.4,2.1,2,9,0.1,12,4.56,0.26,0.25,0.02,334,20,646,1.48
330,TAN-72,TAN-72-1,-1,6763,6.5,5.2,21.8,13.8,0,2,42,55,16.63,0.96,0.79,0.06,174,80,746,1.41
331,TAN-72,TAN-72-2,-2,6764,6.5,4.8,24.1,7.9,0,1,31.1,67,15.1,0.88,0.74,0.06,134,120,746,1.62
332,TAN-72,TAN-72-3,-3,6765,6.7,5.2,17.5,6.9,0,0,12.7,69,10.96,0.64,0.58,0.04,134,120,746,1.60
333,TAN-72,TAN-72-4,-4,6766,6.2,4.6,6.4,2.9,0,4,0.7,47,7.24,0.42,0.42,0.03,174,140,686,1.52
334,TAN-72,TAN-72-5,-5,6767,5.6,4.3,3.5,2.5,1,5,0.6,22,6.3,0.37,0.37,0.03,234,120,646,1.55
335,TAN-72,TAN-72-6,-6,6768,5.3,4.5,2.3,3,1,10,0.5,19,5.25,0.3,0.25,0.02,234,120,646,1.33
336,TAN-72,TAN-72-7,-7,6769,5.5,5.1,3.3,3.9,0,7,0.2,16,5.27,0.31,0.21,0.02,174,180,646,1.63
358,TAN-ARE-Central,TAN-ARE-Central-1,-1,6791,6.1,4.8,21,12.9,0,13,24.8,122,19.71,1.14,0.97,0.07,114,100,786,0.00
359,TAN-ARE-Central,TAN-ARE-Central-2,-2,6792,6.1,4.3,16.4,5.4,0,11,18.9,75,20.29,1.18,0.92,0.07,114,140,746,0.00
360,TAN-ARE-Central,TAN-ARE-Central-3,-3,6793,6,4.3,13.4,4.8,0,9,16.9,44,13.86,0.8,0.82,0.06,134,100,766,0.00
361,TAN-ARG-Central,TAN-ARG-Central-1,-1,6794,6,4.5,26.5,9.4,0,13,29.5,172,24.63,1.43,1.36,0.11,234,180,586,0.00
362,TAN-ARG-Central,TAN-ARG-Central-2,-2,6795,6.7,5.2,35.1,17.7,0,11,22.6,94,26.17,1.52,1.45,0.1,194,220,586,0.00
363,TAN-ARG-Central,TAN-ARG-Central-3,-3,6796,6.1,4.7,16.6,11.4,0,9,6.9,50,15.32,0.89,0.9,0.06,254,220,526,0.00
364,TAN-NAT-Central,TAN-NAT-Central-1,-1,6797,4.9,3.5,0.4,2.1,14,26,4,83,46.26,2.68,2.69,0.18,314,140,546,0.00
365,TAN-NAT-Central,TAN-NAT-Central-2,-2,6798,5.4,3.7,0.1,1.8,10,25,1.7,31,27.39,1.59,1.5,0.12,294,160,546,0.00
366,TAN-NAT-Central,TAN-NAT-Central-3,-3,6799,5.2,3.9,<0.1,0.6,8,23,1,16,18.59,01.08,1.24,0.09,274,160,566,0.00
